lot_area,firstfloor_sqft,living_area,bath,garage_area,price
4388,840,840,1,0,87000
7590,660,1348,1,453,155000
8973,1053,1053,1,750,150000
14200,1216,2157,2,487,226000
12224,1022,2054,2,390,244000
7388,1327,1327,1,624,150750
6853,1296,1296,2,471,220000
10335,1721,1721,2,440,180000
10400,1682,1682,2,530,174000
10355,1214,1214,2,318,143000
11070,1959,1959,3,766,171000
9066,1004,1852,2,660,230000
15426,928,1764,2,470,231500
10500,864,864,1,0,115000
11645,1734,1734,2,660,260000
8520,910,1385,2,720,166000
10335,1501,1501,2,577,204000
9100,1728,1728,2,504,125000
2522,970,1709,2,380,130000
6120,875,875,1,180,105000
9505,884,2035,2,434,222500
7500,1080,1080,1,0,141000
6240,896,1344,1,240,115000
10356,969,969,1,440,122000
13891,1710,1710,2,866,372402
14803,1097,1993,2,495,190000
13500,1252,1252,1,564,235000
11340,1200,1200,1,312,125000
9600,572,1096,1,0,79000
7200,1040,1040,1,625,109500
12003,774,1968,2,680,269500
12552,991,1947,2,678,254900
19378,1392,2462,2,576,320000
11120,1232,1232,2,516,162500
13688,1572,2668,2,726,412500
12182,1541,1541,2,532,220000
5500,882,882,1,0,103200
5400,1149,1616,2,216,152000
10106,808,1355,2,0,127500
10708,1867,1867,1,303,190000
10562,1610,2161,1,789,325624
8244,840,1720,2,440,183500
16669,1707,1707,2,511,228000
12358,854,1382,1,660,128500
31770,1656,1656,1,528,215000
5306,1064,1767,2,504,239000
10197,1362,1362,1,504,163000
12416,1651,1651,2,616,184000
12615,2158,2158,2,576,243000
10029,1164,2060,2,521,211000
13650,1252,1920,2,451,172500
17423,2234,2234,2,1166,501837
8520,968,968,1,480,100000
2117,769,1525,2,440,177000
7588,901,1802,1,216,200100
9060,1340,1340,1,252,120000
11426,1362,2082,2,484,200000
7438,936,1252,1,576,127000
22950,1518,3608,2,840,475000
9947,1217,1217,2,497,173000
10410,808,1656,2,180,135000
7018,1224,1224,0,528,153337
4923,1593,1593,1,682,286000
10570,1549,2727,2,440,315000
7472,725,1479,1,484,184000
9017,1431,1431,2,666,192000
2522,970,1709,2,380,130000
7180,864,864,1,352,127000
2280,855,1456,2,440,148500
9416,1726,1726,2,786,311872
25419,1360,3112,2,795,235000
5520,929,2229,1,0,104000
9591,1713,1713,2,856,274900
8546,1121,1121,2,440,140000
10125,1279,1279,2,473,171500
7000,865,1310,2,398,112000
4438,848,848,1,420,149000
3500,720,1284,1,240,110000
11851,1442,1442,2,500,180500
13673,1696,1696,1,349,143900
12493,1100,1100,1,312,141000
14364,1180,2062,2,454,277000
8250,1092,1092,1,504,145000
5604,864,864,1,0,98000
10420,1212,1212,2,460,186000
8640,932,1852,2,644,252678
13568,990,990,1,576,156000
10900,689,1392,1,299,161750
10011,1236,1236,1,447,134450
8450,1436,1436,2,484,210000
9906,810,1328,1,210,107000
15660,1137,1954,1,431,311500
3010,1248,1248,2,438,167240
8990,1498,1498,2,675,204900
8068,1010,2267,2,390,200000
11475,811,1552,2,434,179900
10500,864,864,1,576,97000
13472,2392,2392,2,968,386250
1680,630,1302,2,280,112000
9950,1214,2520,2,721,290000
1869,483,987,1,280,106000
8521,912,912,1,336,125000
3182,1555,1555,2,430,192500
8760,1194,1194,1,312,148000
15138,1490,2794,2,810,403000
1680,483,987,1,288,94500
10650,894,894,1,308,128200
7851,860,1960,2,440,216500
1680,483,987,1,264,89500
8773,1414,1414,2,494,185500
9453,1014,1744,2,457,194500
12030,1694,1694,2,818,318000
8741,798,1487,1,220,113000
9000,1566,1566,2,750,262500
3880,866,866,1,0,110500
5000,889,1440,1,352,79000
10762,626,1217,1,288,120000
8880,1222,2110,2,463,205000
10400,1872,1872,2,604,241500
9142,908,1928,2,440,137000
11310,1375,1375,1,451,140000
11317,840,1668,2,500,180000
159000,1444,2144,2,389,277000
5350,1306,1306,1,0,76500
4750,1625,1625,2,538,235000
8366,798,1640,2,520,173000
9350,1302,1302,2,309,158000
8400,1314,1314,1,294,145000
8738,1005,2291,2,429,230000
8791,864,1728,2,673,207500
8814,1604,1604,2,660,220000
12435,963,1792,2,564,231500
12702,882,882,1,308,97000
19296,1382,1382,1,884,176000
9588,1482,2574,2,868,276000
8471,1212,1212,1,492,151000
5500,926,1316,1,484,130000
5232,764,764,1,504,73000
12090,1422,1422,2,576,175500
11207,802,1511,2,413,185000
8400,1052,2192,2,240,179500
6900,778,778,1,924,120500
7917,1113,1113,1,504,148000
10728,1095,1939,2,1053,266000
39104,1363,1363,1,439,241500
11764,1164,2270,2,671,290000
9600,1632,1632,2,338,139000
8314,816,816,1,264,124500
7264,952,1548,2,672,205000
9196,1560,1560,2,573,201000
19138,864,864,1,400,141000
14450,2121,2121,2,732,415298
10005,1156,2022,2,505,192000
11287,1175,1982,2,575,228500
7200,1262,1262,2,572,185000
5063,1314,1314,2,626,207500
9612,1468,1468,2,898,244600
8012,1575,1575,2,529,179200
4251,625,1250,2,528,164700
9786,1085,1734,1,440,159000
8125,858,858,1,0,88000
9819,900,900,1,280,122000
8730,698,1396,1,384,153575
15611,1079,1919,2,685,233230
5687,936,1716,2,0,135900
11409,1148,1716,1,281,131000
16659,1468,2263,2,539,235000
9600,1644,1644,1,418,167000
7937,1003,1003,1,588,142500
13710,910,1558,1,282,152000
7399,975,1950,2,576,239000
11700,1041,1743,1,539,175000
14000,1152,1152,1,300,158500
15750,1336,1336,1,375,157000
16226,1210,2452,2,683,267000
13704,1541,1541,2,843,205000
9800,894,894,1,552,149900
18386,1675,3493,3,870,295000
10386,2000,2000,2,888,305900
13474,1122,2243,2,746,225000
7920,1035,1406,1,0,89500
12342,861,861,1,539,82500
12378,1944,1944,2,708,360000
7685,697,1501,2,420,165600
8000,972,972,1,240,132000
7800,793,1118,1,410,119900
215245,2036,2036,2,513,375000
9600,832,1641,1,546,178000
7795,716,1432,2,432,188500
13005,1153,2353,2,484,260000
9000,1088,1959,2,1025,270000
9900,1372,2646,2,656,260000
14115,1472,1472,2,588,187500
16259,1249,2596,3,840,342643
12099,1136,2468,2,872,354000
10380,1553,2730,2,576,301000
5820,1163,1163,1,220,126175
11275,1898,2978,2,564,242000
5000,803,803,1,360,87000
10846,1719,1719,1,473,324000
11600,1383,1383,1,292,145250
11888,1445,2134,2,441,214500
6402,596,1192,1,189,78000
10624,1728,1728,2,352,119000
8176,1056,1056,1,308,139000
10655,1629,1629,2,880,284000
8198,1358,1358,2,484,207000
9042,943,1638,2,472,192000
164660,1619,1786,2,529,228950
14157,1922,1922,2,676,377426
9135,1536,1536,2,532,214000
14145,1621,1621,2,440,202500
12400,1215,1215,1,297,155000
14191,993,1908,2,431,202900
8400,841,841,1,294,82000
8544,1040,1040,2,400,87500
8849,1684,1684,2,564,266000
2592,536,1112,1,336,85000
6435,972,1577,1,312,140200
12772,958,958,1,301,151500
17600,1478,1478,2,498,157500
2448,764,1626,2,474,154000
20431,1848,2728,2,706,437154
7820,1869,1869,2,617,318061
5271,1453,1453,1,445,190000
9084,616,1111,1,200,95000
8520,720,720,1,484,105900
8400,1192,1595,1,240,140000
11249,1200,1200,2,521,177500
9248,1167,1167,2,400,173000
4224,1142,1142,1,528,134000
6930,1352,1352,1,288,130000
12011,1086,1924,2,592,280000
7540,912,912,1,470,156000
9144,988,1505,1,240,145000
7301,495,1922,3,672,198500
1680,483,987,1,264,118000
18800,790,1574,2,566,190000
10690,672,1344,1,468,147000
9500,1394,1394,1,514,159000
9150,1431,1431,1,296,165000
7800,1268,1268,1,244,132000
9830,1287,1287,1,576,162000
8121,953,1664,2,460,172400
17120,1120,1588,2,680,134432
7175,752,752,1,264,125000
10634,1319,1319,1,270,123000
8200,847,1928,2,434,219500
10020,904,904,0,0,61000
8846,914,914,1,576,148000
11143,1580,2466,3,610,340000
11394,1856,1856,1,834,394432
8123,1007,1800,2,463,179000
5000,1026,1691,2,308,127000
7200,1301,1301,2,572,187750
9245,939,1797,2,639,213500
9000,784,784,1,360,76000
53107,1079,1953,2,501,240000
3182,1269,1269,2,430,192000
8410,658,1184,1,0,81000
7200,1125,1125,1,352,125000
9382,1479,1479,2,577,191000
12474,1742,2332,2,846,426000
8405,961,1367,1,384,119000
12209,804,1961,2,560,215000
8339,882,882,1,294,106500
7446,788,788,1,0,100000
10134,735,1034,1,240,109000
9571,1144,1144,1,596,129000
7200,894,894,1,600,123000
7590,876,1812,2,264,169500
8967,1077,1077,1,338,67000
8125,1112,1550,2,438,241000
14963,1288,1288,1,500,245500
8767,1310,1310,2,400,164990
10200,672,672,1,240,108000
12090,1165,2263,2,420,258000
10364,806,1572,2,373,168000
9991,1620,1620,2,490,150000
10480,1166,1639,1,240,115000
15576,840,1680,2,308,177000
14154,1071,2172,2,947,280000
10800,1050,2078,2,836,339750
9571,1276,1276,1,350,60000
34650,1056,1056,1,572,145000
4403,1478,1478,2,484,222000
8960,1028,1028,1,360,115000
11228,1080,2097,2,678,228000
8899,1340,1340,2,396,181134
7844,672,1400,1,440,149500
22420,1370,2624,2,864,239000
8160,756,1134,1,240,126000
8450,1056,1056,1,304,142000
7060,1344,1344,2,784,206300
16635,1602,1602,2,529,215000
21750,988,988,1,520,113000
9200,1470,2630,2,696,315000
9000,1196,1196,1,297,139000
3378,707,1389,1,240,135000
12800,1644,1644,2,569,275000
8593,907,907,1,352,109008
6762,1208,1208,2,628,195400
11457,1412,1412,2,576,175000
1680,483,987,1,264,85400
5586,1088,1198,1,0,79900
1920,765,1365,1,440,122500
10839,926,1604,2,470,181000
1890,630,630,1,0,81000
10667,827,1661,2,550,212000
4400,734,1118,1,440,116000
6000,904,904,1,180,119000
4280,694,694,1,352,90350
12354,684,1196,1,528,110000
15431,2402,2402,2,672,555000
12108,1440,1440,2,0,118000
6240,1128,1573,2,360,162900
3922,1258,1258,2,648,172500
8750,933,1908,2,493,210000
9855,1689,1689,1,480,127500
16492,1888,1888,2,578,190000
11214,956,1886,2,431,199900
8600,780,1376,2,198,119500
6000,679,1183,1,308,120000
5684,813,813,1,270,110000
70761,1533,1533,2,576,280000
9303,888,1756,2,422,204000
9000,786,1590,2,676,210000
9297,1728,1728,2,560,188000
9600,1242,1242,1,528,175500
4571,624,1344,1,513,98000
53227,1663,1663,1,529,256000
5100,833,1666,1,228,161000
7015,979,1203,1,352,110000
8004,832,1935,2,552,263435
7200,575,1135,1,576,155000
8281,864,864,1,360,62383
11988,849,1660,1,240,188700
8430,1040,1040,2,0,124000
3072,1414,1414,2,398,178740
10628,1277,1277,1,526,167000
9480,888,1644,1,312,146500
11428,1634,1634,2,866,250000
9291,832,1710,2,506,187000
6820,1502,1502,1,528,212000
11952,1161,1969,2,534,190000
3675,1072,1072,1,525,148000
14977,1976,1976,2,908,440000
5330,1652,1652,2,499,251000
8480,970,970,1,624,132500
13125,1493,1493,2,508,208900
13693,2069,2643,2,694,380000
10637,1718,1718,2,826,297000
5925,1131,1131,1,672,89471
16033,1850,1850,2,772,326000
11846,1792,1792,2,874,374000
2500,916,1826,1,164,155000
4500,1216,1216,2,402,164000
7758,999,999,1,264,132500
9600,1113,1113,1,264,147000
10289,1073,1073,1,515,156000
12243,1484,1484,2,487,175000
10800,1766,2414,2,520,160000
1526,630,630,1,286,86000
2665,616,1304,1,336,115000
9490,958,1578,1,240,133000
15578,728,1456,2,429,172785
7931,1269,1269,1,308,155000
5784,886,886,1,273,91300
7879,720,720,1,0,34900
12692,3228,3228,3,546,430000
9120,1133,1820,2,240,184000
7800,899,899,1,288,130000
7535,912,912,1,297,120000
1890,672,1218,1,264,113000
9803,866,1768,2,603,226700
9170,1214,1214,1,461,140000
15602,1801,1801,2,484,289000
2308,855,1322,2,440,147000
7596,960,1960,2,400,124500
9554,1065,1911,2,471,215000
7862,1218,1218,2,676,208300
9600,689,1378,2,360,161000
9600,1041,1041,1,270,124500
14559,1363,1363,1,288,164900
6792,1368,1368,2,474,202665
9100,864,864,1,624,129900
9187,1080,1080,1,484,134000
10594,789,789,1,200,96500
12220,2020,2020,2,900,402861
10448,1378,2119,2,583,158000
10208,1277,2344,2,889,265000
9531,882,1796,2,546,211000
10918,1276,2080,1,282,234000
10800,694,1294,2,0,106250
11988,1244,1244,1,336,150000
5000,1004,1664,2,420,159000
40094,3138,4676,3,884,184750
11787,1383,2398,2,834,315750
7500,1266,1266,2,453,176000
13300,928,928,1,252,132000
14948,1476,2713,2,858,446261
9098,605,605,1,0,86000
32668,2515,2515,3,484,200624
10200,1509,1509,2,600,175000
6155,751,1362,2,502,128000
7200,827,827,1,392,107500
5000,334,334,1,0,39300
9056,707,1414,2,403,178000
7000,820,1347,1,0,107500
8924,880,1724,2,527,188000
12735,864,864,1,576,111250
11553,1159,1159,1,336,158000
11423,1601,1601,2,670,272000
14601,1838,1838,2,765,315000
11000,997,2285,2,648,248000
10140,1680,1680,2,583,213250
4058,767,767,1,367,133000
17104,664,1496,2,426,179665
13837,1377,2183,2,786,229000
8737,915,1635,1,440,210000
7244,768,768,1,624,129500
8235,825,825,1,720,125000
9375,912,2094,2,615,263000
4043,1069,1069,2,440,140000
6000,928,928,1,288,112500
11146,1717,1717,2,908,255500
8777,1126,1126,2,520,108000
10625,1006,2046,2,871,284000
6380,1048,1048,1,280,113000
14850,1092,1092,1,299,141000
11040,897,1336,1,570,108000
21872,729,1446,2,406,175000
3196,1557,1557,2,420,234000
11341,1392,1392,1,528,121500
10010,1389,1389,1,418,170000
13907,996,996,1,0,108000
21780,1163,1674,2,396,185000
13346,1166,2295,2,590,268000
6858,841,1647,1,216,128000
11198,1134,2504,2,656,325000
10171,1535,1535,2,532,214000
12327,1496,2132,1,612,316600
7032,943,943,1,600,135960
13101,1728,1728,2,576,142600
7332,864,864,1,288,120000
13159,846,1692,2,650,224500
9967,774,1430,2,400,170000
10500,576,1109,1,288,139000
8480,832,1216,1,336,118500
6292,877,1477,2,216,145000
11777,1320,1320,1,564,164500
3604,703,1392,2,540,146000
12150,1050,1795,2,352,131500
14585,1429,1429,1,572,181900
12704,2042,2042,2,1390,253293
11841,816,816,1,0,118500
13500,1521,2775,3,880,325000
6120,989,1573,1,240,133000
11443,2028,2028,2,880,369900
10267,838,838,1,275,130000
8740,860,860,1,528,137000
25095,1473,1473,1,452,143000
9100,779,935,1,308,79500
8320,770,1582,2,520,185900
13478,1728,2296,2,842,451950
6600,816,816,1,816,138000
4435,848,848,1,420,140000
7990,924,924,1,280,110000
11302,1826,1826,2,758,319000
3600,684,1368,1,216,114504
3922,1402,1402,0,648,194201
12984,1647,1647,2,621,217500
1950,716,1556,2,452,151000
10927,1058,1904,2,736,275000
9000,780,1375,1,544,141000
10041,927,1915,2,506,220000
3182,600,1200,2,480,151000
12803,1494,1494,2,530,221000
13600,1186,1986,2,486,205000
12464,1040,1040,1,576,152000
7800,1112,2008,3,230,225000
12168,1940,3194,2,380,359100
7943,1029,1029,1,261,118500
11050,1476,2153,2,736,313000
10395,1032,1032,2,564,148000
11885,1299,1872,2,531,261500
8402,1120,1120,1,0,147000
1491,630,630,1,0,75500
8800,1054,1054,1,480,137500
7861,807,1509,2,393,183200
7227,832,832,1,528,105500
11694,1828,1828,2,774,314813
12244,1482,2262,2,749,305000
8248,864,864,1,0,67000
10800,1548,2614,2,624,240000
7064,980,980,1,484,135000
2117,756,1512,2,440,168500
10400,1012,1790,1,484,165150
10000,1116,1116,1,440,160000
12342,1422,1422,1,286,139900
9600,1520,1520,1,364,153000
11606,1040,2080,1,504,135000
9020,1350,1350,1,520,168500
9000,1089,1750,1,240,124000
4590,1554,1554,2,627,209500
11900,1411,1411,2,544,82500
9250,1056,1056,1,260,139400
6979,1056,1056,0,576,144000
10896,1440,3395,2,0,200000
6120,800,800,1,0,60000
6000,811,1387,2,256,93000
8777,796,796,1,0,85000
3982,1567,1567,2,648,264561
12677,1518,1518,1,588,274000
7050,1057,1929,2,650,226000
13860,2000,2704,2,538,345000
10793,780,1620,2,462,152000
9187,1766,1766,2,478,370878
10530,981,981,1,576,143250
7200,1048,1048,1,420,98300
10452,1094,1094,1,495,155000
7700,1051,1839,1,442,155000
1936,630,630,1,0,84500
8125,822,1665,2,562,205950
9084,755,1510,1,296,108000
8750,909,1716,2,512,191000
10320,756,1469,1,216,135000
10437,2113,2113,2,839,350000
1680,525,1092,1,264,88000
10007,1053,1053,1,312,145500
7200,851,1502,1,270,149000
17503,912,1458,1,330,97500
9937,1486,1486,1,480,167000
12384,1142,1935,2,550,197900
46589,1686,2448,2,711,402000
13560,1392,1392,1,576,110000
10012,1181,1181,2,588,137500
20896,2097,2097,1,1134,423000
11194,1454,1936,2,504,230500
18450,1465,2380,2,596,129000
8125,1679,1679,2,575,193500
14175,1437,1437,1,576,168000
11600,1180,1180,1,252,137500
8633,738,1476,2,540,173500
6629,697,1369,2,300,103600
11250,1208,1208,1,546,165000
14442,1839,1839,2,416,257500
9200,1136,1136,1,384,140000
2289,855,1441,2,440,148500
9600,1095,1774,2,779,87000
9022,792,792,1,240,109500
11844,2046,2046,2,834,372500
9945,988,988,1,572,128500
8012,923,923,2,264,143000
4500,848,1520,1,281,159434
2887,1291,1291,1,431,173000
11248,1668,1668,2,702,285000
16770,1195,1839,2,486,221000
5062,1190,2090,2,577,207500
10207,874,1761,3,578,227875
5105,551,1102,2,480,148800
8089,1419,1419,2,567,392000
7577,1362,1362,2,460,194700
4426,848,848,1,420,141000
21535,2444,4316,3,832,755000
26178,1238,2519,2,628,335000
5400,1073,1073,1,326,108480
6120,1067,1539,1,576,141500
13811,1137,1137,2,551,176000
6000,616,616,1,205,89000
6420,1148,1148,1,308,123500
8450,894,894,1,336,138500
4282,1391,1391,2,530,196000
14331,1800,1800,2,765,312500
9600,1164,1164,1,528,140000
12438,1264,2576,2,666,361919
7630,1032,1812,2,672,140000
8400,1484,1484,2,606,213000
5600,372,1092,2,0,55000
115149,1824,1824,2,739,302000
6240,1324,1324,2,550,254000
9018,728,1456,2,400,179540
7162,904,904,1,408,109900
4130,729,729,1,0,52000
8712,859,1178,1,384,102776
4671,1228,1228,2,472,189000
9873,960,960,1,576,129000
13517,725,1479,2,475,130500
10140,1350,1350,2,478,165000
10800,1576,2554,1,704,159500
10000,1178,1178,1,439,157000
10542,1325,2418,2,983,341000
9920,971,971,1,300,128500
6563,1742,1742,2,564,275000
4426,848,848,1,420,143000
8120,864,864,1,463,124500
8172,997,1470,2,548,135000
13286,1698,1698,2,768,320000
6960,864,864,1,660,120500
21695,1680,1680,2,540,222000
7314,1232,1232,2,632,194500
11475,1776,1776,2,888,110000
6240,848,1208,1,539,103000
5389,1616,1616,2,608,236500
9590,1146,1146,2,438,187500
11404,1153,2031,2,541,222500
10000,1144,1144,1,264,131400
8978,948,948,1,300,108000
10800,880,1768,1,320,163000
8544,1040,1040,2,400,93500
10463,901,1801,2,800,239900
10800,1200,1200,3,0,179000
9313,864,1728,2,572,190000
9600,768,1432,2,360,132000
6768,912,912,1,288,142000
8450,1349,1349,2,539,179000
12886,1464,1464,2,480,175000
5395,1337,1337,2,462,180000
8963,1175,2715,3,831,299800
8795,980,2256,2,554,236000
11700,1320,2640,1,864,265979
10593,1720,1720,2,527,260400
8405,1088,1529,2,240,98000
8800,792,1140,1,0,96500
7750,660,1320,2,400,162000
9236,1494,1494,2,576,217000
10240,1038,2098,2,878,275500
7930,1026,1026,1,440,156000
3230,742,1471,2,440,172500
10769,866,1768,2,578,212000
11616,672,1386,2,440,158900
2280,757,1501,2,440,179400
12257,1328,2531,2,752,290000
9100,864,864,1,300,127500
6911,1301,1301,1,440,100000
8640,764,1547,2,614,215200
9430,1268,2365,2,856,337000
9549,1494,1494,1,481,270000
14587,1506,1506,2,592,264132
10421,980,1714,2,496,196500
12508,983,1750,2,423,160000
9100,1836,1836,2,484,216837
53504,1690,3279,3,841,538000
7252,858,858,1,576,134900
8877,1220,1220,1,396,102000
7819,1117,1117,1,672,107000
10150,912,912,1,275,114500
14226,1973,1973,2,895,395000
4500,1204,1204,2,412,162000
11210,1614,1614,2,865,221500
13350,894,894,1,440,142500
8400,2020,2020,2,630,144000
10530,1004,1004,1,504,135000
7875,1253,1253,2,402,176000
7153,810,1603,2,484,175900
16285,1430,1430,2,605,187100
9101,1110,1110,1,602,165500
6300,742,1484,2,0,128000
9790,1342,1342,2,457,161500
10800,966,1652,2,416,139000
10142,956,2084,2,618,233000
6000,901,901,1,281,107900
12205,976,2087,2,444,187500
3182,1145,1145,2,397,160200
11333,1062,1062,1,539,146800
9920,1127,2013,2,455,269790
9158,1496,1496,2,474,225000
10832,1086,1895,2,409,194500
8400,888,1564,2,476,171000
8197,1285,1285,1,528,143500
7677,773,773,1,240,110000
13518,1966,3140,3,820,485000
7200,981,1768,1,240,175000
12798,616,1688,2,603,200000
4800,1196,1196,1,440,109900
8199,728,1456,2,410,189000
13891,1734,2822,3,1020,582933
9000,1128,1128,1,286,118000
12274,1428,1428,2,554,227680
9750,980,980,2,384,135500
21384,1072,1576,1,528,223500
13400,1086,1086,1,484,159950
8100,1075,2138,2,360,106000
10140,1309,1309,1,484,181000
4438,848,848,1,420,144500
8712,1044,1044,1,504,55993
9750,1442,1442,1,301,157900
8248,686,1250,1,280,116000
12137,1661,1661,2,598,224900
11425,1008,1008,1,275,137000
13265,1689,1689,2,857,271000
8816,1052,1052,1,440,155000
6371,1358,1358,2,484,224000
7226,798,1640,2,595,183000
6000,936,936,1,576,93000
12394,847,1733,2,433,225000
9900,944,1489,2,240,139500
11216,1489,1489,2,776,232600
14803,2084,2084,2,1220,385000
6130,784,784,1,0,109500
8529,1434,1434,2,527,189000
28698,1160,2126,2,538,185000
2544,520,1223,2,480,147400
11900,1392,1392,1,458,166000
3180,520,1200,2,480,151000
9548,941,1829,2,613,237000
10004,1516,1516,1,472,167000
7875,1144,1144,1,456,139950
9600,1067,1067,2,436,128000
8100,1559,1559,1,812,153500
1680,483,987,1,264,100000
9525,1099,1099,1,352,144000
11767,768,1200,1,240,130500
12155,810,1482,2,400,140000
10440,958,1539,2,686,157500
9020,1165,1165,1,490,174900
8000,1800,1800,2,0,141000
12665,876,1416,1,720,153900
16647,1701,1701,2,611,171000
9317,1006,1775,2,425,213000
15523,864,864,1,338,133500
45600,1307,2358,3,360,240000
9600,1094,1855,2,512,187000
4435,848,848,1,420,131500
3196,1456,1456,2,400,215000
7128,918,1646,2,240,164000
12095,1445,1445,1,645,158000
17920,1779,1779,1,454,170000
6897,1040,1040,1,260,127000
10970,1026,1026,1,576,147000
8125,702,1481,2,343,174000
10400,1370,1370,2,479,152000
11029,1512,2654,2,619,250000
7642,912,1426,1,216,189950
11625,1039,1039,1,504,131500
9672,1097,1097,2,480,152000
7931,1148,1148,1,672,132500
8640,1372,1372,2,529,250580
8750,1002,1002,1,902,148500
10656,1646,1646,2,870,248900
6970,1120,1120,1,544,129000
14762,1547,2320,2,672,169000
9938,1062,1949,2,574,236000
6600,894,894,1,308,109500
8750,804,1682,2,523,200500
8892,910,910,1,414,116000
12144,1036,1268,1,288,133000
5720,676,1131,1,200,66500
9000,1184,2610,2,550,303477
25286,1040,1040,1,648,132250
8834,1462,2224,2,738,350000
11782,1155,1155,1,576,148000
7000,864,864,1,336,136500
7024,1090,1090,1,450,157000
13758,1187,1717,2,400,187500
9636,808,1593,2,389,178000
6204,954,2230,1,440,118500
7150,892,892,1,288,100000
5119,1709,1709,2,506,328900
8393,1712,1712,2,588,145000
16466,872,1393,1,300,135500
15865,2217,2217,2,621,268000
12160,1505,1505,1,505,149500
8064,672,924,1,576,122900
11184,918,1683,2,440,172500
8414,1068,1068,1,264,154500
13284,1383,1383,1,354,165000
7018,1535,1535,2,400,118858
7056,983,1796,1,483,140000
8765,951,951,1,327,106500
7018,1120,2240,2,528,142953
12919,2364,2364,2,820,611657
6993,1236,1236,1,288,135000
7340,858,858,1,684,110000
8712,1306,1306,1,756,153000
